scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr,composite_score
Mirae Asset Great Consumer Fund,1000,5000,0.19305019305019305,1989.0,10,Ankit Jain,3.41,6.38,0.16939961265332473,0.8738593666129898,0.42396313364055305,6,Mirae Asset Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,8.1,27.2,14.0,0.39257326484064337
SBI Corporate Bond Fund,500,5000,0.1312741312741313,16551.0,4,Rajeev Radhakrishnan,1.54,1.51,0.02078760490639122,0.8752012882447665,0.599078341013825,2,SBI Mutual Fund,3,Debt,Corporate Bond Mutual Funds,4.1,6.4,8.9,0.39277919399823147
Kotak Emerging Equity Fund,100,100,0.1891891891891892,23962.0,10,Pankaj Tibrewal,3.73,3.18,0.20852162685603617,0.8792270531400966,0.391705069124424,6,Kotak Mahindra Mutual Fund,4,Equity,Mid Cap Mutual Funds,6.6,34.0,15.2,0.39278463537665287
Sundaram Low Duration Fund,2000,1000,0.1274131274131274,433.0,10,Dwijendra Srivastava,3.93,1.44,0.05177533892834087,0.8123993558776168,0.619815668202765,2,Sundaram Mutual Fund,2,Debt,Low Duration Funds,5.6,4.9,1.8,0.39322168822171993
Mirae Asset Hybrid – Equity Fund,1000,5000,0.138996138996139,6952.0,8,Harshad Borawake,3.27,1.95,0.15480955455132342,0.8776167471819646,0.48387096774193555,6,Mirae Asset Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,1.7,21.9,12.2,0.39413606314583916
WhiteOak Capital Ultra Short Term Fund,500,500,0.1274131274131274,141.0,4,Piyush Baranwal,2.81,1.2,0.005810200129115558,0.867686527106817,0.6267281105990784,1,WhiteOak Capital Mutual Fund,2,Debt,Ultra Short Duration Funds,5.3,4.5,8.9,0.3948615704866477
DSP Short Term Fund,500,500,0.11583011583011582,2821.0,10,Laukik Bagwe,1.75,4.96,0.018076178179470624,0.9224369296833065,0.5898617511520738,2,DSP Mutual Fund,2,Debt,Short Duration Funds,4.1,6.1,6.7,0.39492248478468006
Nippon India Hybrid Bond Fund,100,5000,0.4864864864864865,716.0,10,Sushil Budhia,4.19,3.09,0.028792769528728213,0.8639291465378423,0.3110599078341014,6,Nippon India Mutual Fund,1,Hybrid,Conservative Hybrid Mutual Funds,5.1,9.6,3.4,0.3949236156616026
SBI Short Term Debt Fund,500,5000,0.13513513513513511,13289.0,10,Rajeev Radhakrishnan,1.57,5.0,0.018463524854744996,0.9205582393988191,0.5760368663594471,2,SBI Mutual Fund,3,Debt,Short Duration Funds,4.6,6.4,6.8,0.395322372785068
Edelweiss Balanced Advantage Fund,500,5000,0.1969111969111969,8780.0,10,Bhavesh Jain,3.31,2.1,0.12188508715300196,0.8730542136339238,0.4700460829493088,6,Edelweiss Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,2.9,18.5,12.0,0.39532373862762715
Motilal Oswal Nifty 50 Index Fund,500,500,0.05405405405405406,234.0,3,Swapnil Mayekar,3.48,-0.6,0.21162040025823112,0.8816425120772947,0.5092165898617511,6,Motilal Oswal Mutual Fund,4,Other,Index Funds,0.1,26.0,8.9,0.3955120929520556
HDFC Banking and PSU Debt Fund,100,100,0.15057915057915058,4805.0,9,Anil Bamboli,1.74,3.4,0.022595222724338282,0.8835212023617821,0.5852534562211982,2,HDFC Mutual Fund,4,Debt,Banking and PSU Mutual Funds,4.3,6.8,7.2,0.3955738706645881
HDFC Retirement Savings Fund,100,100,0.3976833976833977,932.0,7,Srinivasan Ramamurthy,3.27,3.03,0.0382182052937379,0.8666129898013957,0.3778801843317973,6,HDFC Mutual Fund,4,Solution Oriented,Retirement Funds,8.0,24.5,12.3,0.39566205400410226
Franklin India Banking & PSU Debt Fund,500,5000,0.06177606177606178,712.0,9,Umesh Sharma,1.06,3.72,0.01897998708844416,0.9052603327965647,0.6497695852534563,2,Franklin Templeton Mutual Fund,2,Debt,Banking and PSU Mutual Funds,4.2,6.1,7.2,0.39617195435147634
Franklin India Dynamic Asset Allocation FoFs-Dir-G,500,5000,0.1776061776061776,1103.0,10,Rajasa Kakulavarapu,1.87,8.57,0.12808263395739186,0.8631239935587762,0.4907834101382489,4,Franklin Templeton Mutual Fund,3,Other,FoFs Domestic,5.9,18.2,9.2,0.3962820246441223
DSP Arbitrage Fund,500,500,0.13513513513513511,1238.0,5,Kedar Karnik,1.08,1.45,0.005810200129115558,0.8722490606548577,0.6221198156682028,1,DSP Mutual Fund,3,Hybrid,Arbitrage Mutual Funds,5.6,4.6,5.4,0.3963220906474951
Sundaram Balanced Advantage Fund,500,100,0.23938223938223938,1532.0,10,S Bharath,3.24,2.13,0.09541639767591996,0.8687600644122383,0.46313364055299544,4,Sundaram Mutual Fund,5,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3.9,11.9,7.2,0.39639176431288614
Canara Robeco Liquid Fund,1000,5000,0.04247104247104247,2548.0,10,Kunal Jain,3.04,1.07,0.001549386701097482,0.8727858293075684,0.7027649769585254,2,Canara Robeco Mutual Fund,2,Debt,Liquid Mutual Funds,5.6,4.1,5.1,0.3963917662421063
Edelweiss Equity Savings Fund,500,5000,0.27027027027027023,258.0,8,Bharat Lahoti,3.22,2.41,0.06481601032924468,0.8762748255501879,0.45852534562211983,4,Edelweiss Mutual Fund,5,Hybrid,Equity Savings Mutual Funds,4.4,12.1,9.0,0.39658413894655226
Kotak Small Cap Fund,500,500,0.2277992277992278,8617.0,10,Pankaj Tibrewal,4.06,8.99,0.23227888960619755,0.8768115942028986,0.3548387096774194,6,Kotak Mahindra Mutual Fund,4,Equity,Small Cap Mutual Funds,-0.7,43.1,17.0,0.3968334610951619
Tata Nifty 50 Index Fund,150,5000,0.06177606177606178,369.0,10,Sonam Udasi,3.45,-0.56,0.20942543576500966,0.8813741277509394,0.5092165898617511,6,Tata Mutual Fund,3,Other,Index Funds,1.0,25.6,12.0,0.3968401768939811
Edelweiss Small Cap Fund,500,5000,0.23166023166023164,1458.0,4,Sahil Shah,4.17,8.58,0.22879276952872818,0.8768115942028986,0.3548387096774194,6,Edelweiss Mutual Fund,4,Equity,Small Cap Mutual Funds,3.0,42.5,8.9,0.3969271820410455
Navi Equity Hybrid Fund,500,10,0.16216216216216217,82.0,5,Aditya Mulki,2.72,1.73,0.1417688831504196,0.8757380568974772,0.48617511520737333,6,Navi Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,3.2,19.7,8.9,0.39698290726985286
Quant Tax Plan- Direct Growth,500,500,0.22007722007722005,2779.0,10,Vasav Sahgal,3.5,17.63,0.25138799225306646,0.8808373590982287,0.3433179723502305,6,Quant Mutual Fund,5,Equity,ELSS Mutual Funds,0.9,54.9,22.2,0.39702916660728654
ICICI Pru Dividend Yield Equity Fund,100,5000,0.2548262548262548,1258.0,9,Mittul Kalawadia,5.06,10.39,0.19561007101355712,0.8773483628556092,0.36405529953917054,6,ICICI Prudential Mutual Fund,0,Equity,Dividend Yield Funds,8.5,37.6,12.1,0.39729534389282606
Nippon India Balanced Advantage Fund,100,100,0.25096525096525096,6593.0,10,Amar Kalkundrikar,3.76,3.1,0.10664945125887669,0.870101986044015,0.4470046082949309,5,Nippon India Mutual Fund,3,Hybrid,Dynamic Asset Allocation or Balanced Advantage,5.3,17.1,10.1,0.3975254552533142
Tata Short Term Bond Fund,150,10000,0.14285714285714285,2271.0,10,Murthy Nagarajan,1.88,4.74,0.020658489347966432,0.9130434782608696,0.5829493087557605,2,Tata Mutual Fund,3,Debt,Short Duration Funds,4.7,6.6,5.8,0.3983723963301794
PGIM India Arbitrage Fund,1000,5000,0.1274131274131274,168.0,9,Utkarsh Katkoria,0.85,1.06,0.005551969012265977,0.866076221148685,0.6428571428571429,1,PGIM India Mutual Fund,2,Hybrid,Arbitrage Mutual Funds,5.3,4.5,5.2,0.3993136611932282
Nippon India Index Fund,100,5000,0.05791505791505791,374.0,10,Mehul Dama,3.23,-1.01,0.21471917366042606,0.8819108964036501,0.5161290322580645,6,Nippon India Mutual Fund,4,Other,Index Funds,1.5,25.6,13.0,0.3993794468520203
ICICI Pru Nifty 50 Index Fund,100,100,0.06563706563706564,3977.0,10,Kayzad Eghlim,3.46,-0.72,0.21342801807617817,0.8819108964036501,0.511520737327189,6,ICICI Prudential Mutual Fund,3,Other,Index Funds,0.9,26.1,11.9,0.3996046714071977
SBI Arbitrage Opportunities Fund,500,5000,0.138996138996139,8800.0,10,Neeraj Kumar,0.93,1.18,0.0063266623628147195,0.8671497584541064,0.6336405529953917,1,SBI Mutual Fund,2,Hybrid,Arbitrage Mutual Funds,5.8,4.5,5.4,0.3998528179291772
SBI Nifty Index Fund,500,5000,0.0694980694980695,3324.0,10,Raviprakash Sharma,3.47,-0.69,0.21342801807617817,0.8819108964036501,0.5092165898617511,6,SBI Mutual Fund,3,Other,Index Funds,0.9,26.0,11.8,0.3998786781328173
SBI Magnum Children’s Benefit Fund,500,5000,0.33204633204633205,89.0,10,Rajeev Radhakrishnan,3.92,6.29,0.07437056165267915,0.8703703703703703,0.4147465437788019,4,SBI Mutual Fund,4,Solution Oriented,Childrens Funds,3.1,15.2,8.3,0.40010226063246745
HSBC Low Duration Fund,500,5000,0.09652509652509653,467.0,10,Shriram Ramanathan,0.63,0.3,0.026468689477081985,0.8341384863123994,0.6774193548387097,2,HSBC Mutual Fund,3,Debt,Low Duration Funds,5.2,5.6,5.8,0.40080195021463744
Canara Robeco Ultra Short Term Fund,500,500,0.15444015444015446,565.0,10,Suman Prasad,2.11,1.82,0.003098773402194964,0.8829844337090714,0.6175115207373272,2,Canara Robeco Mutual Fund,2,Debt,Ultra Short Duration Funds,5.2,4.5,5.3,0.4012350749235998
ICICI Pru S&P BSE Sensex Index Fund,100,100,0.06177606177606178,694.0,6,Kayzad Eghlim,3.24,-1.12,0.21562298256939957,0.8819108964036501,0.5184331797235023,6,ICICI Prudential Mutual Fund,4,Other,Index Funds,1.4,25.8,12.9,0.40126189428414605
AXIS Nifty 100 Index Fund,1000,500,0.05791505791505791,953.0,3,Ashish Naik,2.93,-1.76,0.21162040025823112,0.8816425120772947,0.5253456221198157,6,Axis Mutual Fund,3,Other,Index Funds,-1.7,25.1,8.9,0.4013160535947259
HDFC Index Fund,100,100,0.07722007722007723,4210.0,10,Nirman Morakhia,3.48,-0.64,0.21291155584247903,0.8819108964036501,0.5092165898617511,6,HDFC Mutual Fund,4,Other,Index Funds,2.4,25.8,12.8,0.40168006450489446
UTI-Nifty 50 Index Fund,500,5000,0.07722007722007723,9475.0,10,Sharwan Kumar Goyal,3.49,-0.6,0.21342801807617817,0.8819108964036501,0.5092165898617511,6,UTI Mutual Fund,3,Other,Index Funds,0.9,26.2,12.0,0.4018091800633192
Quant Flexi Cap Fund,1000,5000,0.22393822393822393,1044.0,10,Vasav Sahgal,3.65,15.93,0.24389928986442866,0.879495437466452,0.36405529953917054,6,Quant Mutual Fund,5,Equity,Flexi Cap Funds,6.8,47.7,18.2,0.40207505580570474
Baroda BNP Paribas Short Duration Fund,500,5000,0.14285714285714285,235.0,10,Prashant Pimple,1.23,3.6,0.019109102646868947,0.8966720343531938,0.6082949308755761,3,Baroda BNP Paribas Mutual Fund,3,Debt,Short Duration Funds,4.2,5.7,6.7,0.40231444750931455
Canara Robeco Corporate Bond Fund,1000,5000,0.15057915057915058,191.0,9,Avnish Jain,1.35,1.33,0.01988379599741769,0.8757380568974772,0.6152073732718895,2,Canara Robeco Mutual Fund,3,Debt,Corporate Bond Mutual Funds,4.0,6.0,6.7,0.40232556000520436
LIC MF Nifty 50 Index Fund,1000,5000,0.07722007722007723,53.0,10,Jaiprakash Toshniwal,3.44,-0.85,0.21278244028405421,0.8819108964036501,0.511520737327189,6,LIC Mutual Fund,3,Other,Index Funds,1.0,25.8,11.7,0.40233902985491954
LIC MF Banking & PSU Debt Fund,1000,5000,0.10810810810810811,1190.0,10,Marzban Irani,1.49,3.94,0.016268560361523562,0.9100912506709609,0.631336405529954,2,LIC Mutual Fund,3,Debt,Banking and PSU Mutual Funds,4.2,5.7,6.8,0.40251333891058627
Franklin India Equity Savings Fund,500,5000,0.27413127413127414,153.0,5,Rajasa Kakulavarapu,3.01,3.39,0.08185926404131699,0.880300590445518,0.45852534562211983,3,Franklin Templeton Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,4.8,14.0,8.9,0.40261535631888734
HDFC Arbitrage Fund,100,100,0.16602316602316602,5886.0,9,Arun Agarwal,0.99,1.24,0.005551969012265977,0.868491680085883,0.6221198156682028,1,HDFC Mutual Fund,2,Hybrid,Arbitrage Mutual Funds,5.6,4.5,5.2,0.40322806447649545
PGIM India Short Duration Fund,1000,5000,0.19305019305019305,29.0,10,Puneet Pal,2.05,3.73,0.015752098127824403,0.8985507246376812,0.5714285714285714,2,PGIM India Mutual Fund,3,Debt,Short Duration Funds,4.5,6.3,4.6,0.403339289150612
Navi 3 In 1 Fund,500,1000,0.1312741312741313,15.0,10,Aditya Mulki,3.29,0.91,0.19677211103938022,0.8789586688137413,0.48617511520737333,6,Navi Mutual Fund,2,Hybrid,Multi Asset Allocation Mutual Funds,0.2,32.6,12.4,0.4036558289033382
ICICI Pru Balanced Advantage Fund,100,500,0.35135135135135137,44515.0,10,Sankaran Naren,5.59,5.34,0.1040671400903809,0.8695652173913043,0.38709677419354843,5,ICICI Prudential Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,6.7,19.7,10.4,0.4038966985967585
AXIS Retirement Savings Fund,1000,5000,0.1583011583011583,81.0,3,Jinesh Gopani,1.84,-0.04,0.06998063266623629,0.8773483628556092,0.5714285714285714,5,Axis Mutual Fund,2,Solution Oriented,Retirement Funds,-2.5,10.3,8.9,0.40396869174154193
Aditya Birla SL Asset Allocator FoF-Dir Growth,1000,1000,0.20463320463320464,157.0,10,Vinod Narayan Bhat,3.44,2.67,0.13311814073595868,0.8730542136339238,0.48387096774193555,5,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic,2.0,18.9,9.7,0.4042099693916562
PGIM India Flexi Cap Fund,1000,100,0.15444015444015446,5199.0,8,Aniruddha Naha,3.13,5.27,0.22646868947708196,0.8816425120772947,0.4423963133640553,6,PGIM India Mutual Fund,5,Equity,Flexi Cap Funds,-2.3,34.0,15.7,0.4042746074039847
SBI Equity Savings Fund,500,1000,0.2586872586872587,2264.0,8,Neeraj Kumar,3.49,2.91,0.08612007746933506,0.8824476650563607,0.4723502304147466,4,SBI Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,2.2,14.6,8.1,0.40439643617484455
Quant Mid Cap Fund,1000,5000,0.24324324324324326,1550.0,10,Sanjeev Sharma,3.58,11.21,0.23834732085216268,0.8781535158346753,0.36175115207373276,6,Quant Mutual Fund,5,Equity,Mid Cap Mutual Funds,8.8,45.1,19.8,0.4045536898129064
SBI Equity Minimum Variance – Direct Growth,500,5000,0.16216216216216217,134.0,4,Raviprakash Sharma,3.09,2.72,0.1881213686249193,0.8768115942028986,0.4723502304147466,6,SBI Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,4.9,27.0,8.9,0.4046382706617741
HDFC Index Fund,100,100,0.07722007722007723,7457.0,10,Nirman Morakhia,3.24,-1.01,0.21626856036152356,0.8821792807300054,0.5161290322580645,6,HDFC Mutual Fund,3,Other,Index Funds,0.9,26.0,12.0,0.4046467252188206
Nippon India Index Fund,100,100,0.07722007722007723,638.0,10,Mehul Dama,3.33,-1.48,0.21136216914138153,0.8816425120772947,0.5207373271889402,6,Nippon India Mutual Fund,3,Other,Index Funds,0.9,26.0,11.9,0.4046952621625057
SBI FMP – Series 1 (3668 Days) – Direct Growth,0,5000,0.0,40.0,4,Ranjana Gupta,1.0,9.3,0.04325371207230472,0.9916800858829844,0.6520737327188941,3,SBI Mutual Fund,0,Debt,Fixed Maturity Plans,4.8,6.2,8.9,0.4047715650103413
HSBC Short Duration Fund,500,5000,0.10424710424710426,3592.0,10,Shriram Ramanathan,1.18,4.85,0.018721755971594575,0.9256575415995706,0.631336405529954,2,HSBC Mutual Fund,2,Debt,Short Duration Funds,3.8,6.0,6.7,0.405274645033575
SBI Credit Risk Fund,500,10000,0.3552123552123552,2782.0,10,Lokesh Mallya,2.05,2.96,0.02001291155584248,0.8596349973161568,0.4654377880184332,5,SBI Mutual Fund,3,Debt,Credit Risk Funds,5.2,7.2,7.0,0.4053646525608108
Franklin India NSE Nifty 50 Index Fund,500,5000,0.09266409266409266,482.0,10,Varun Sharma,3.44,-0.79,0.21058747579083276,0.8816425120772947,0.511520737327189,6,Franklin Templeton Mutual Fund,3,Other,Index Funds,0.9,25.6,11.6,0.405597615727347
DSP Nifty 50 Index Fund,500,500,0.09266409266409266,271.0,4,Anil Ghelani,3.43,-0.76,0.2117495158166559,0.8816425120772947,0.511520737327189,6,DSP Mutual Fund,3,Other,Index Funds,0.9,25.8,8.9,0.4058881257338028
DSP Banking & Psu Debt Fund,500,500,0.1274131274131274,2463.0,10,Vikram Chopra,1.59,4.78,0.020658489347966432,0.9194847020933977,0.6175115207373272,2,DSP Mutual Fund,3,Debt,Banking and PSU Mutual Funds,4.0,6.4,6.9,0.40616830083015115
Mahindra Manulife Equity Savings Fund,500,1000,0.27027027027027023,418.0,6,Fatema Pacha,3.1,3.84,0.10187217559715946,0.8883521202361783,0.4516129032258065,4,Mahindra Manulife Mutual Fund,4,Hybrid,Equity Savings Mutual Funds,1.7,32.4,13.3,0.406189906481835
HSBC Small Cap Fund,500,5000,0.2972972972972973,8625.0,9,Venugopal Manghat,4.16,9.87,0.22827630729502904,0.8770799785292539,0.3317972350230415,6,HSBC Mutual Fund,3,Equity,Small Cap Mutual Funds,5.1,44.7,12.7,0.4063485673608448
Bank of India Overnight Fund,0,5000,0.06563706563706564,82.0,3,Mithraem Bharucha,1.92,0.76,0.0009038089089735317,0.867686527106817,0.7211981566820277,1,Bank of India Mutual Fund,5,Debt,Overnight Mutual Funds,5.5,4.0,8.9,0.4065319710624815
Mahindra Manulife Large & Mid Cap Fund,500,1000,0.1969111969111969,1056.0,3,Manish Lodha,3.07,4.98,0.19909619109102644,0.878690284487386,0.44009216589861755,6,Mahindra Manulife Mutual Fund,5,Equity,Large & Mid Cap Funds,-1.1,30.4,8.9,0.4067675536676183
Mirae Asset Midcap Fund,1000,5000,0.22393822393822393,8753.0,4,Ankit Jain,3.44,2.67,0.2142027114267269,0.8797638217928073,0.4055299539170507,6,Mirae Asset Mutual Fund,4,Equity,Mid Cap Mutual Funds,1.2,35.0,8.9,0.40714698437491437
Baroda BNP Paribas Arbitrage Fund,300,5000,0.1891891891891892,354.0,6,Neeraj Saxena,0.99,1.39,0.005681084570690768,0.870907139023081,0.6152073732718895,1,Baroda BNP Paribas Mutual Fund,3,Hybrid,Arbitrage Mutual Funds,5.2,4.6,5.6,0.40746120822615306
HDFC Focused 30 Fund,100,100,0.20849420849420852,3609.0,10,Roshi Jain,3.93,7.78,0.218463524854745,0.8797638217928073,0.41705069124423966,6,HDFC Mutual Fund,3,Equity,Focused Funds,16.0,35.8,11.9,0.40780740506907176
IDBI Credit Risk Fund,500,5000,0.23552123552123552,22.0,9,Raju Sharma,3.09,3.08,0.07695287282117497,0.7882447665056361,0.5737327188940092,4,IDBI Mutual Fund,3,Debt,Credit Risk Funds,4.3,11.3,3.7,0.4078872960549327
Parag Parikh Flexi Cap Fund,1000,1000,0.28957528957528955,29953.0,10,Rajeev Thakkar,3.06,10.65,0.18411878631375078,0.8738593666129898,0.3824884792626728,6,PPFAS Mutual Fund,5,Equity,Flexi Cap Funds,2.3,33.6,17.6,0.4079419360736599
Quant Multi Asset Fund,1000,5000,0.21621621621621623,634.0,10,Vasav Sahgal,3.23,19.52,0.23705616526791476,0.8752012882447665,0.3986175115207374,6,Quant Mutual Fund,5,Hybrid,Multi Asset Allocation Mutual Funds,10.6,42.6,20.5,0.40794360647620725
Nippon India Equity Savings Fund,100,5000,0.2664092664092664,178.0,8,Sushil Budhia,3.22,2.71,0.07927695287282117,0.8789586688137413,0.48617511520737333,2,Nippon India Mutual Fund,1,Hybrid,Equity Savings Mutual Funds,3.9,12.2,1.3,0.4080658231454821
Invesco India Credit Risk Fund,1000,1000,0.10810810810810811,129.0,9,Vikas Garg,2.95,9.17,0.03382827630729503,0.9828234031132582,0.587557603686636,2,Invesco Mutual Fund,2,Debt,Credit Risk Funds,4.4,6.0,3.5,0.40831605783249325
Quant Active Fund,1000,5000,0.22393822393822393,3531.0,10,Sanjeev Sharma,3.33,13.82,0.25022595222724336,0.881105743424584,0.38018433179723504,6,Quant Mutual Fund,0,Equity,Multi Cap Funds,1.0,45.5,19.9,0.40881749226545416
Mahindra Manulife Aggressive Hybrid Fund,500,1000,0.25096525096525096,615.0,4,Fatema Pacha,3.57,4.52,0.15713363460296964,0.8778851315083199,0.4377880184331797,6,Mahindra Manulife Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,2.7,24.6,8.9,0.40893815322367305
UTI-Retirement Benefit Pension Plan – Direct,500,500,0.40540540540540543,3687.0,10,Sunil Patil,3.59,4.37,0.08327953518398967,0.8671497584541064,0.3778801843317973,5,UTI Mutual Fund,0,Solution Oriented,Retirement Funds,5.2,17.2,7.5,0.40896524213770924
DSP Nifty 50 Equal Weight Index Fund,500,500,0.15444015444015446,498.0,5,Anil Ghelani,3.22,3.52,0.22117495158166556,0.8821792807300054,0.46313364055299544,6,DSP Mutual Fund,3,Other,Index Funds,2.2,30.9,10.7,0.40927972481735475
SBI Small Cap Fund,500,5000,0.27027027027027023,15395.0,10,R Srinivasan,4.07,6.48,0.21355713363460294,0.8752012882447665,0.3778801843317973,6,SBI Mutual Fund,4,Equity,Small Cap Mutual Funds,8.2,38.3,15.3,0.4093611639247108
HDFC Retirement Savings Fund,100,100,0.30115830115830117,2696.0,7,Srinivasan Ramamurthy,4.32,9.26,0.19225306649451257,0.8778851315083199,0.36866359447004615,6,HDFC Mutual Fund,5,Solution Oriented,Retirement Funds,11.6,34.9,14.8,0.4095289465558813
ICICI Pru Medium Term Bond Fund,1000,5000,0.2972972972972973,6305.0,10,Manish Banthia,1.69,2.74,0.025952227243382826,0.8735909822866345,0.5138248847926268,4,ICICI Prudential Mutual Fund,4,Debt,Medium Duration Funds,5.6,7.7,7.6,0.409678043030285
Kotak Equity Opportunities – Direct Growth,500,500,0.23166023166023164,11608.0,10,Harsha Upadhyaya,3.43,4.72,0.1852808263395739,0.8776167471819646,0.4331797235023042,6,Kotak Mahindra Mutual Fund,4,Equity,Large & Mid Cap Funds,6.2,28.8,13.9,0.40971253098703553
Kotak Equity Savings Fund,1000,5000,0.3938223938223938,2097.0,8,Devender Singhal,4.22,4.5,0.06933505487411233,0.8762748255501879,0.39631336405529954,4,Kotak Mahindra Mutual Fund,4,Hybrid,Equity Savings Mutual Funds,6.6,14.4,9.2,0.40993833650075395
SBI Magnum Medium Duration Fund,500,5000,0.2664092664092664,7087.0,10,Dinesh Ahuja,2.05,2.34,0.024790187217559715,0.8784219001610306,0.5391705069124424,4,SBI Mutual Fund,4,Debt,Medium Duration Funds,4.6,7.2,7.9,0.4102353955126454
Edelweiss Mid Cap Fund,500,5000,0.22007722007722005,2530.0,10,Trideep Bhattacharya,3.85,2.21,0.22414460942543574,0.8808373590982287,0.4124423963133641,6,Edelweiss Mutual Fund,4,Equity,Mid Cap Mutual Funds,4.9,35.5,14.0,0.41095564808931895
Baroda BNP Paribas Mid Cap Fund,300,5000,0.2277992277992278,1192.0,10,Shiv Chanani,3.35,1.31,0.20206584893479662,0.8781535158346753,0.4262672811059908,6,Baroda BNP Paribas Mutual Fund,3,Equity,Mid Cap Mutual Funds,2.4,30.6,13.6,0.41097715668223844
LIC MF Arbitrage Fund,1000,5000,0.11969111969111969,27.0,4,Jaiprakash Toshniwal,0.67,1.23,0.006584893479664299,0.8711755233494364,0.6843317972350231,1,LIC Mutual Fund,2,Hybrid,Arbitrage Mutual Funds,5.5,4.4,8.9,0.4111036471330902
Nippon India Nifty Next 50 Junior BeES FoF-Dir Growth,100,100,0.007722007722007722,148.0,4,Mehul Dama,1.75,-4.27,0.23227888960619755,0.8816425120772947,0.5829493087557605,6,Nippon India Mutual Fund,2,Other,FoFs Domestic,-5.8,21.8,8.9,0.4112135193742384
HDFC Medium Term Debt Fund,100,100,0.22393822393822393,3538.0,10,Shobhit Mehrotra,1.34,2.14,0.02659780503550678,0.8760064412238325,0.5783410138248848,4,HDFC Mutual Fund,3,Debt,Medium Duration Funds,4.1,6.9,7.4,0.41133759963566463
Motilal Oswal Nifty Smallcap 250 Index Fund,500,500,0.11969111969111969,312.0,4,Swapnil Mayekar,2.88,-1.24,0.26804389928986444,0.8816425120772947,0.46082949308755766,6,Motilal Oswal Mutual Fund,2,Other,Index Funds,-4.8,37.1,8.9,0.41151110508697225
Tata S&P BSE Sensex Index Fund,150,5000,0.10424710424710426,174.0,10,Sonam Udasi,3.2,-1.23,0.21278244028405421,0.8816425120772947,0.5207373271889402,6,Tata Mutual Fund,4,Other,Index Funds,2.4,25.1,12.8,0.4118070867049306
PGIM India Dynamic Bond Fund,1000,5000,0.138996138996139,135.0,10,Puneet Pal,0.89,1.08,0.02143318269851517,0.8778851315083199,0.6543778801843319,2,PGIM India Mutual Fund,3,Debt,Dynamic Bond,4.6,5.7,7.4,0.41199772078062713
HSBC Medium Duration Fund,500,5000,0.15444015444015446,643.0,8,Shriram Ramanathan,0.84,1.93,0.03240800516462233,0.8730542136339238,0.6359447004608295,3,HSBC Mutual Fund,3,Debt,Medium Duration Funds,4.2,7.0,6.7,0.4121062927662278
Baroda BNP Paribas Balanced Advantage Fund,500,5000,0.2471042471042471,3123.0,4,Sanjay Chawla,3.41,2.61,0.1329890251775339,0.8738593666129898,0.4746543778801844,6,Baroda BNP Paribas Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3.7,19.8,8.9,0.41219150475709854
SBI Contra Fund,500,5000,0.35135135135135137,8340.0,10,Dinesh Balachandran,4.43,15.26,0.2103292446739832,0.8789586688137413,0.3202764976958526,6,SBI Mutual Fund,5,Equity,Contra Funds,15.0,43.4,15.6,0.4122948320778377
Navi Flexi Cap Fund,500,10,0.16602316602316602,202.0,5,Aditya Mulki,3.29,0.91,0.19677211103938022,0.8789586688137413,0.48617511520737333,6,Navi Mutual Fund,3,Equity,Flexi Cap Funds,2.1,25.9,8.9,0.4123430875905968
Invesco India Short Term Fund,1000,1000,0.13513513513513511,350.0,10,Vikas Garg,1.31,4.41,0.02143318269851517,0.9138486312399356,0.6359447004608295,2,Invesco Mutual Fund,2,Debt,Short Duration Funds,3.9,6.2,6.8,0.4126952158446486
Mahindra Manulife Multi Cap Fund,500,1000,0.1891891891891892,1515.0,6,Fatema Pacha,2.87,4.41,0.2210458360232408,0.8813741277509394,0.4470046082949309,6,Mahindra Manulife Mutual Fund,0,Equity,Multi Cap Funds,1.2,32.6,15.8,0.4129349643417747
Aditya Birla SL Balanced Advantage Fund,100,100,0.23552123552123552,6386.0,10,Mohit Sharma,3.69,1.99,0.13053582956746287,0.8733225979602791,0.4907834101382489,6,Aditya Birla Sun Life Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,4.5,18.6,9.7,0.4134138089057051
Mirae Asset Overnight Fund,1000,5000,0.04247104247104247,632.0,3,Abhishek Iyer,1.26,0.67,0.0009038089089735317,0.8671497584541064,0.7649769585253456,1,Mirae Asset Mutual Fund,5,Debt,Overnight Mutual Funds,5.4,3.9,8.9,0.41376675209342895
